key	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	function	p_Control	N_Control	p_Jelly	N_Jelly
func_37b07135b825	8.257986632887757	0.004057310096188037	0.4931282158537864	Jelly	MER0015885	PepA_aminopeptidase_(Salmonella_enterica)_[M17.003]	0	37	0.2	40
func_8a6f6a83ea5b	8.257986632887757	0.004057310096188037	0.4931282158537864	Jelly	MER0242995,MER0243297,MER0243037,MER0243337	family_M1_unassigned_peptidases_(Fluviicola_taffensis)_[M01.UPW]	0	37	0.2	40
func_9e787e4de3da	8.257986632887757	0.004057310096188037	0.4931282158537864	Jelly	MER0507236	family_M14_non-peptidase_homologues_(Polaribacter_sp._MED152)_[M14.UNW]	0	37	0.2	40
func_7575ba41eee0	8.101385299420865	0.004423144044886012	0.4931282158537864	Control,Jelly	MER0202984	RhoII_peptidase_({Haloferax_volcanii})_and_similar_(Puniceispirillum_marinum)_[S54.027]	0.24324324324324328	37	0.025	40
func_cd52c6d5ee18	8.101385299420865	0.004423144044886012	0.4931282158537864	Control,Jelly	MER0203024	family_C56_non-peptidase_homologues_(Puniceispirillum_marinum)_[C56.UNW]	0.24324324324324328	37	0.025	40
func_ec8f6680c22a	8.101385299420865	0.004423144044886012	0.4931282158537864	Control,Jelly	MER1244481,MER0482640,MER1245441,MER0484029,MER0276002,MER1245027,MER1245147,MER1245032,MER0480537,MER0352214,MER1244224,MER0482639,MER1243838,MER0423461	subfamily_M24B_unassigned_peptidases_()_[M24.UPB]	0.24324324324324328	37	0.025	40
func_f2d7e706eae8	8.101385299420865	0.004423144044886012	0.4931282158537864	Control,Jelly	MER0202980,MER0203023,MER0202971	family_M38_non-peptidase_homologues_(Puniceispirillum_marinum)_[M38.UNW]	0.24324324324324328	37	0.025	40
func_ee673bc764ed	7.804054277029246	0.005212914133176735	0.4931282158537864	Control,Jelly	MER0224511	subfamily_M50B_non-peptidase_homologues_(Ferrimonas_balearica)_[M50.UNB]	0.02702702702702703	37	0.25	40
func_8f4710b74039	7.617414314011507	0.005780731351328342	0.4931282158537864	Control,Jelly	MER0278932,MER0405262,MER0405914,MER0912957,MER0910383,MER0405677,MER0913004,MER0911632,MER0181684	FlhB_protein_({Escherichia_coli})_()_[N06.A01]	0.32432432432432434	37	0.075	40
func_a09aaa9c110e	7.617414314011507	0.005780731351328342	0.4931282158537864	Control,Jelly	MER0092078,MER0475112,MER0473982,MER1209105,MER0475003,MER0475121,MER0841311,MER0475126,MER0473144,MER0475024,MER0370438	subfamily_M20A_unassigned_peptidases_()_[M20.UPA]	0.32432432432432434	37	0.075	40
func_19b854af55f4	7.122511879083161	0.007612198052274564	0.4931282158537864	Jelly	MER0214881,MER0489541,MER0214438	family_S9_non-peptidase_homologues_(Kordia_algicida)_[S09.UNW]	0	37	0.175	40
func_b43a015a6c36	7.122511879083161	0.007612198052274564	0.4931282158537864	Jelly	MER0101488,MER0101690,MER0101443,MER0101487,MER0101444	family_S9_non-peptidase_homologues_(Acaryochloris_marina)_[S09.UNW]	0	37	0.175	40
func_be02fce2be1b	7.122511879083161	0.007612198052274564	0.4931282158537864	Jelly	MER1123596,MER0833527,MER1128801,MER1120718	family_S85_non-peptidase_homologues_(Streptomyces_coelicolor)_[S85.UNW]	0	37	0.175	40
func_6fb33967729d	7.088749152257785	0.007756936904153483	0.4931282158537864	Control,Jelly	MER1073118	subfamily_S49C_non-peptidase_homologues_(Bacillus_simplex)_[S49.UNC]	0.2702702702702703	37	0.05	40
func_c9c2a18fdd93	7.058572830466716	0.007888681803656096	0.4931282158537864	Control,Jelly	MER0440893,MER0449270,MER0445175,MER0449392,MER0443000,MER0441447,MER0448561,MER0444664,MER0440625,MER0444366,MER0451683,MER0443405,MER0440857,MER0448726,MER0442069,MER0437720	family_C26_unassigned_peptidases_()_[C26.UPW]	0.35135135135135137	37	0.1	40
func_86a7ba17fa3d	7.034668508940548	0.007994667017212676	0.4931282158537864	Control	MER0299315,MER0299193,MER0358618	peptidase_Clp_(type_1)_()_[S14.001]	0.16216216216216217	37	0	40
func_bab4636c8ab1	6.961251876196133	0.008329373320843624	0.4931282158537864	Control,Jelly	MER0000458	penicillin-binding_protein_2_(Bacillus_subtilis)_[X52.001]	0.32432432432432434	37	0.625	40
func_7e9dcd88e953	6.9140203013008765	0.008552248564043664	0.4931282158537864	Control,Jelly	MER0167921,MER0086275,MER0980709,MER0350860,MER0351578,MER0943754,MER0087732,MER0125262,MER0979392,MER1307731,MER0351022,MER1034108,MER1307406,MER0297428,MER0350900,MER1307988,MER0087689,MER0140004,MER0351078	family_S11_unassigned_peptidases_()_[S11.UPW]	0.5135135135135135	37	0.225	40
func_b4084faade01	6.808484961698538	0.00907257090868094	0.4931282158537864	Control,Jelly	MER0203019	D230019K24Rik_peptidase_({Mus_musculus})_(Puniceispirillum_marinum)_[S09.023]	0.21621621621621623	37	0.025	40
func_368d0ad84249	6.798202400500027	0.009124969969611858	0.4931282158537864	Control,Jelly	MER0947272	family_S10_unassigned_peptidases_(Brassica_napus)_[S10.UPW]	0.13513513513513514	37	0.4	40
func_b4780decb73f	6.798202400500027	0.009124969969611858	0.4931282158537864	Control,Jelly	MER0129423,MER0129406,MER0129460	family_S9_non-peptidase_homologues_(Pedobacter_heparinus)_[S09.UNW]	0.13513513513513514	37	0.4	40
func_d32894d497a5	6.764810310732992	0.00929728058952218	0.4931282158537864	Control,Jelly	MER0478484,MER0239377,MER0137725,MER0232568,MER0423463,MER0079702,MER0086288,MER0479031,MER0389451,MER0161220,MER0093242,MER0083615,MER0387355,MER0088937,MER0223739,MER0087970,MER0189797,MER0048663,MER0165486,MER0479725,MER0176386,MER0159688	subfamily_M23B_unassigned_peptidases_()_[M23.UPB]	0.5945945945945946	37	0.3	40
func_32e9ff11e772	6.686798402743907	0.009712948535579103	0.4931282158537864	Control,Jelly	MER0063083	collagenase_({Helicobacter}-type)_(Marinomonas_sp._MED121)_[U32.002]	0.05405405405405406	37	0.275	40
func_81c8d3f2e37c	6.686798402743907	0.009712948535579103	0.4931282158537864	Control,Jelly	MER0064677,MER0064318,MER0194267,MER0064575	family_I39_unassigned_peptidase_inhibitors_(Capnocytophaga_ochracea)_[I39.UPW]	0.05405405405405406	37	0.275	40
func_1116d730fa33	6.666370646723408	0.00982490630160567	0.4931282158537864	Control,Jelly	MER0068633	family_C40_non-peptidase_homologues_(Methanosarcina_barkeri)_[C40.UNW]	0.02702702702702703	37	0.225	40
func_e0604fe8bec2	6.666370646723408	0.00982490630160567	0.4931282158537864	Control,Jelly	MER0193018	family_I39_unassigned_peptidase_inhibitors_(Thermanaerovibrio_acidaminovorans)_[I39.UPW]	0.02702702702702703	37	0.225	40
func_3334269164fc	6.639120039061206	0.009976319979301368	0.4931282158537864	Control,Jelly	MER0372092,MER0736618,MER0840357,MER0373393,MER0179733,MER0848151,MER0841770,MER0850341,MER0736293,MER0189391,MER0304212,MER0238692,MER0374799,MER0842833,MER0372379,MER0373413,MER0141592	family_M20D_unassigned_peptidases_()_[M20.UPD]	0.3783783783783784	37	0.125	40
func_b65d3aa361a0	6.639120039061206	0.009976319979301368	0.4931282158537864	Control,Jelly	MER0569545,MER0143054,MER1155778,MER0324561,MER0401312,MER1154715,MER1155504,MER0564762,MER0294406,MER0362003,MER1155274,MER0324587	family_A8_unassigned_peptidases_()_[A08.UPW]	0.3783783783783784	37	0.125	40
func_c753750c4c95	6.639120039061206	0.009976319979301368	0.4931282158537864	Control,Jelly	MER1072220	subfamily_S49C_non-peptidase_homologues_(Bacillus_sp.)_[S49.UNC]	0.3783783783783784	37	0.125	40
func_178c1d0f6dbc	6.019022223292772	0.014152485509966978	0.4931282158537864	Jelly	MER0309080	subfamily_M14D_unassigned_peptidases_(Photobacterium_angustum)_[M14.UPD]	0	37	0.15	40
func_430281580ecc	6.019022223292772	0.014152485509966978	0.4931282158537864	Jelly	MER0469166	family_M14_non-peptidase_homologues_(Owenweeksia_hongkongensis)_[M14.UNW]	0	37	0.15	40
func_81e70e103186	6.019022223292772	0.014152485509966978	0.4931282158537864	Jelly	MER1102827	Nudix_hydrolase_3_(Physcomitrella_patens)_[M49.005]	0	37	0.15	40
func_94870ea71ffb	6.019022223292772	0.014152485509966978	0.4931282158537864	Jelly	MER0995519,MER0404321	subfamily_S9A_unassigned_peptidases_(Pseudoalteromonas_spongiae)_[S09.UPA]	0	37	0.15	40
func_a5afc7545174	6.019022223292772	0.014152485509966978	0.4931282158537864	Jelly	MER0242718	peptidase_Clp_(type_1)_(Fluviicola_taffensis)_[S14.001]	0	37	0.15	40
func_c4d6b0ef272c	6.019022223292772	0.014152485509966978	0.4931282158537864	Jelly	MER0074417,MER0074419	family_S9_non-peptidase_homologues_(Shewanella_sp._MR-4)_[S09.UNW]	0	37	0.15	40
func_cca3151f8467	6.019022223292772	0.014152485509966978	0.4931282158537864	Jelly	MER0211529	family_S9_non-peptidase_homologues_(Pseudoalteromonas_tunicata)_[S09.UNW]	0	37	0.15	40
func_d629263a0763	6.019022223292772	0.014152485509966978	0.4931282158537864	Jelly	MER0243215,MER0242913	family_C26_unassigned_peptidases_(Fluviicola_taffensis)_[C26.UPW]	0	37	0.15	40
func_041890662dab	5.780798310380022	0.016202180945044498	0.4931282158537864	Control	MER0152832,MER0081943	PyrC_protein_({Escherichia_coli})_(Rhodobacter_sphaeroides)_[M38.A02]	0.13513513513513514	37	0	40
func_04f61b861d44	5.780798310380022	0.016202180945044498	0.4931282158537864	Control	MER0511063	family_U69_unassigned_peptidases_(Octadecabacter_arcticus)_[U69.UPW]	0.13513513513513514	37	0	40
func_11368cba4bcb	5.780798310380022	0.016202180945044498	0.4931282158537864	Control	MER0246283	glutamate_synthase_(NADPH)_large_chain_(Krokinobacter_sp._4H-3-7-5)_[C44.003]	0.13513513513513514	37	0	40
func_231fac7e7eab	5.780798310380022	0.016202180945044498	0.4931282158537864	Control	MER0459282,MER0458882,MER0460008	glutamate_synthase_(NADPH)_large_chain_()_[C44.003]	0.13513513513513514	37	0	40
func_8f8a09d44960	5.780798310380022	0.016202180945044498	0.4931282158537864	Control	MER0230861,MER0230941	family_M38_non-peptidase_homologues_(Mycobacterium_gilvum)_[M38.UNW]	0.13513513513513514	37	0	40
func_c032cbcccddb	5.780798310380022	0.016202180945044498	0.4931282158537864	Control	MER0166927	subfamily_M23B_non-peptidase_homologues_(Kordia_algicida)_[M23.UNB]	0.13513513513513514	37	0	40
func_d8d7daa49827	5.780798310380022	0.016202180945044498	0.4931282158537864	Control	MER0202976	repressor_LexA_(Puniceispirillum_marinum)_[S24.001]	0.13513513513513514	37	0	40
func_e36861744e28	5.780798310380022	0.016202180945044498	0.4931282158537864	Control	MER0202975	aminodeoxychorismate_synthase,_subunit_II_(Puniceispirillum_marinum)_[C26.955]	0.13513513513513514	37	0	40
func_f10fd7a35769	5.780798310380022	0.016202180945044498	0.4931282158537864	Control	MER0161056	family_S9_non-peptidase_homologues_(Gemmata_obscuriglobus)_[S09.UNW]	0.13513513513513514	37	0	40
func_3a7bb3b90f4d	5.6809295710141114	0.017150279050856764	0.4931282158537864	Control,Jelly	MER0195833	family_N11_unassigned_peptide_lyases_()_[N11.UPW]	0.6216216216216216	37	0.35	40
func_f981896cd3ec	5.571312558334837	0.018257070149934614	0.4931282158537864	Control,Jelly	MER0196962	family_M75_unassigned_peptidases_(Spirosoma_linguale)_[M75.UPW]	0.02702702702702703	37	0.2	40
func_fb5f468785b2	5.571312558334837	0.018257070149934614	0.4931282158537864	Control,Jelly	MER0057854,MER0211221,MER0057828	family_S9_unassigned_peptidases_(Colwellia_psychrerythraea)_[S09.UPW]	0.02702702702702703	37	0.2	40
func_52f4853a30e6	5.565478287599597	0.018318005615253152	0.4931282158537864	Control,Jelly	MER0795787,MER0808236	family_I87_unassigned_peptidase_inhibitors_(Puniceispirillum_marinum)_[I87.UPW]	0.1891891891891892	37	0.025	40
func_5c576e46395c	5.565478287599597	0.018318005615253152	0.4931282158537864	Control,Jelly	MER0202958	family_S33_non-peptidase_homologues_(Puniceispirillum_marinum)_[S33.UNW]	0.1891891891891892	37	0.025	40
func_8e17fa9089e9	5.565478287599597	0.018318005615253152	0.4931282158537864	Control,Jelly	MER0001395	peptidase_activation_protein_(Lactococcus_lactis)_[X15.001]	0.1891891891891892	37	0.025	40
func_d22b3a20d429	5.565478287599597	0.018318005615253152	0.4931282158537864	Control,Jelly	MER0082806	subfamily_S41A_unassigned_peptidases_(Bradyrhizobium_sp._BTAi1)_[S41.UPA]	0.1891891891891892	37	0.025	40
func_ddc0b4b79222	5.497870891384726	0.0190396417468638	0.4931282158537864	Control,Jelly	MER0295850	family_C26_non-peptidase_homologues_(Nematostella_vectensis)_[C26.UNW]	0.6486486486486487	37	0.875	40
func_d1e879b2fd7f	5.397056544573683	0.020170741801807224	0.4931282158537864	Control,Jelly	MER0231653	subfamily_M50B_non-peptidase_homologues_(Desulfovibrio_aespoeensis)_[M50.UNB]	0.24324324324324328	37	0.5	40
func_346bf08a8955	5.25580958945851	0.02187362304828193	0.4931282158537864	Control,Jelly	MER0281361	family_C40_non-peptidase_homologues_(Bacillus_subtilis)_[C40.UNW]	0.10810810810810811	37	0.325	40
func_cb40c75ea93a	5.25580958945851	0.02187362304828193	0.4931282158537864	Control,Jelly	MER0194746,MER0194706	family_I39_unassigned_peptidase_inhibitors_(Vibrio_antiquarius)_[I39.UPW]	0.10810810810810811	37	0.325	40
func_089504289694	4.946185398812091	0.026148302076708273	0.4931282158537864	Jelly	MER0242948,MER0243138	subfamily_S9B_unassigned_peptidases_(Fluviicola_taffensis)_[S09.UPB]	0	37	0.125	40
func_0cb99b1aead3	4.946185398812091	0.026148302076708273	0.4931282158537864	Jelly	MER0921150	subfamily_M16B_non-peptidase_homologues_(Pontibacter_korlensis)_[M16.UNB]	0	37	0.125	40
func_0e4d0e1de80e	4.946185398812091	0.026148302076708273	0.4931282158537864	Jelly	MER0967161	subfamily_S1C_unassigned_peptidases_(Thalassomonas_viridans)_[S01.UPC]	0	37	0.125	40
func_0f744c0627f8	4.946185398812091	0.026148302076708273	0.4931282158537864	Jelly	MER0129495	family_S33_unassigned_peptidases_(Pedobacter_heparinus)_[S33.UPW]	0	37	0.125	40
func_1f33abc87d52	4.946185398812091	0.026148302076708273	0.4931282158537864	Jelly	MER0129315	subfamily_M20F_unassigned_peptidases_(Pedobacter_heparinus)_[M20.UPF]	0	37	0.125	40
func_2c9d9f382a12	4.946185398812091	0.026148302076708273	0.4931282158537864	Jelly	MER0129400	family_C44_unassigned_peptidases_(Pedobacter_heparinus)_[C44.UPW]	0	37	0.125	40
func_3f7ec4a3f127	4.946185398812091	0.026148302076708273	0.4931282158537864	Jelly	MER0241943	family_A32_unassigned_peptidases_(Colwellia_psychrerythraea)_[A32.UPW]	0	37	0.125	40
func_4f3efffb133f	4.946185398812091	0.026148302076708273	0.4931282158537864	Jelly	MER0099520	family_M14_unassigned_peptidases_(Shewanella_woodyi)_[M14.UPW]	0	37	0.125	40
func_554fff47f305	4.946185398812091	0.026148302076708273	0.4931282158537864	Jelly	MER0154548	BSU33620_g.p._({Bacillus_subtilis})_and_similar_(Flavobacterium_indicum)_[S09.946]	0	37	0.125	40
func_63aef61451ba	4.946185398812091	0.026148302076708273	0.4931282158537864	Jelly	MER0071491	family_M38_non-peptidase_homologues_(Shewanella_denitrificans)_[M38.UNW]	0	37	0.125	40
func_84cc53721bc3	4.946185398812091	0.026148302076708273	0.4931282158537864	Jelly	MER0320828	subfamily_M28D_unassigned_peptidases_(Flexibacter_litoralis)_[M28.UPD]	0	37	0.125	40
func_8892a2b825e9	4.946185398812091	0.026148302076708273	0.4931282158537864	Jelly	MER0057831	cephalosporin_C_acylase_precursor_(Colwellia_psychrerythraea)_[S45.003]	0	37	0.125	40
func_968fe002b637	4.946185398812091	0.026148302076708273	0.4931282158537864	Jelly	MER0247612,MER0248027,MER0249242	subfamily_S8A_unassigned_peptidases_(Haliscomenobacter_hydrossis)_[S08.UPA]	0	37	0.125	40
func_a1cc077348f6	4.946185398812091	0.026148302076708273	0.4931282158537864	Jelly	MER0160549,MER0159972,MER0177992	family_C56_non-peptidase_homologues_(Vibrio_alginolyticus)_[C56.UNW]	0	37	0.125	40
func_a4300a209d78	4.946185398812091	0.026148302076708273	0.4931282158537864	Jelly	MER0500364	subfamily_S9C_unassigned_peptidases_(Vibrio_parahaemolyticus)_[S09.UPC]	0	37	0.125	40
func_c7d05f52183c	4.946185398812091	0.026148302076708273	0.4931282158537864	Jelly	MER0057864,MER0057830,MER0057820,MER0057841	family_S33_unassigned_peptidases_(Colwellia_psychrerythraea)_[S33.UPW]	0	37	0.125	40
func_c88b8d42a188	4.946185398812091	0.026148302076708273	0.4931282158537864	Jelly	MER0146889,MER0147742	family_M1_unassigned_peptidases_(Saprospira_grandis)_[M01.UPW]	0	37	0.125	40
func_ce6198fccba3	4.946185398812091	0.026148302076708273	0.4931282158537864	Jelly	MER0058000	YheT_protein_({Escherichia_coli})_(Pseudoalteromonas_haloplanktis)_[S33.A46]	0	37	0.125	40
func_ee74774ae237	4.946185398812091	0.026148302076708273	0.4931282158537864	Jelly	MER0240669,MER0240919	CtpA_peptidase_({Synechocystis}-type)_(Bacteroides_salanitronis)_[S41.008]	0	37	0.125	40
func_0e5d151b1eb3	4.858773117752063	0.027505889401934065	0.4931282158537864	Control,Jelly	MER0469311	family_S6_unassigned_peptidases_(Flavobacterium_johnsoniae)_[S06.UPW]	0.08108108108108109	37	0.275	40
func_1f775d8323f6	4.858773117752063	0.027505889401934065	0.4931282158537864	Control,Jelly	MER0474067	PepB_aminopeptidase_(Ceratitis_capitata)_[M17.004]	0.08108108108108109	37	0.275	40
func_b098421b2c8c	4.858773117752063	0.027505889401934065	0.4931282158537864	Control,Jelly	MER0191323,MER0079996,MER0105185,MER1263955,MER0313115,MER1263577,MER0161142,MER0142198	family_M74_unassigned_peptidases_()_[M74.UPW]	0.08108108108108109	37	0.275	40
func_59e6bcee99e6	4.76993979563701	0.028960838425109377	0.4931282158537864	Control,Jelly	MER1044252,MER1330507,MER1332250,MER1330534,MER1322967,MER1330110,MER1043218,MER1332128,MER1329499,MER1328936,MER1040460,MER1329252,MER1330435,MER1329229	family_S24_unassigned_peptidases_()_[S24.UPW]	0.2972972972972973	37	0.1	40
func_57f169097a8c	4.5863900310623205	0.03222682191453991	0.4931282158537864	Control,Jelly	MER0501945	family_U32_unassigned_peptidases_(Chthonomonas_calidirosea)_[U32.UPW]	0.43243243243243246	37	0.675	40
func_d7edac46933b	4.578979190684211	0.03236649110414156	0.4931282158537864	Control,Jelly	MER0196976,MER0196960,MER0196966,MER0128861,MER0197008,MER0131504,MER0128820,MER0128830,MER0094262,MER0196972,MER0119910,MER0196989,MER0196953,MER0104267,MER0196955,MER0196987,MER0119649,MER0074077,MER0104893,MER0131644,MER0196971,MER0092308,MER0196999,MER0196963,MER0196988,MER0197005,MER0196985,MER0128801,MER0196998	family_I39_unassigned_peptidase_inhibitors_(Spirosoma_linguale)_[I39.UPW]	0.4594594594594595	37	0.7	40
func_0c72f2169332	4.561282615064259	0.03270257360951431	0.4931282158537864	Control	MER0202993	family_S12_unassigned_peptidases_(Puniceispirillum_marinum)_[S12.UPW]	0.10810810810810811	37	0	40
func_22ab9fbb6de7	4.561282615064259	0.03270257360951431	0.4931282158537864	Control	MER0193998	family_S11_unassigned_peptidases_(Chitinophaga_pinensis)_[S11.UPW]	0.10810810810810811	37	0	40
func_40e503a3106e	4.561282615064259	0.03270257360951431	0.4931282158537864	Control	MER1084140	family_S54_unassigned_peptidases_(Joostella_marina)_[S54.UPW]	0.10810810810810811	37	0	40
func_4bab27fe3398	4.561282615064259	0.03270257360951431	0.4931282158537864	Control	MER0312437,MER0188688	subfamily_M15D_unassigned_peptidases_()_[M15.UPD]	0.10810810810810811	37	0	40
func_4fd280308cd8	4.561282615064259	0.03270257360951431	0.4931282158537864	Control	MER0474527	family_M20D_unassigned_peptidases_(Robiginitalea_biformata)_[M20.UPD]	0.10810810810810811	37	0	40
func_66ff4cbe5db5	4.561282615064259	0.03270257360951431	0.4931282158537864	Control	MER0193005	family_C26_non-peptidase_homologues_(Thermanaerovibrio_acidaminovorans)_[C26.UNW]	0.10810810810810811	37	0	40
func_9724f913caa2	4.561282615064259	0.03270257360951431	0.4931282158537864	Control	MER1151742	family_P01_unassigned_peptidases_()_[P01.UPW]	0.10810810810810811	37	0	40
func_97b1918c0c6f	4.561282615064259	0.03270257360951431	0.4931282158537864	Control	MER0084807	family_M17_unassigned_peptidases_(Psychroflexus_torquis)_[M17.UPW]	0.10810810810810811	37	0	40
func_97ed96f5570c	4.561282615064259	0.03270257360951431	0.4931282158537864	Control	MER1184899,MER0108160,MER0199223,MER0093456	subfamily_M3A_unassigned_peptidases_()_[M03.UPA]	0.10810810810810811	37	0	40
func_a2ec28bfc451	4.561282615064259	0.03270257360951431	0.4931282158537864	Control	MER0967128	subfamily_S1C_unassigned_peptidases_(Formosa_sp._AK20)_[S01.UPC]	0.10810810810810811	37	0	40
func_b2a75e625ff7	4.561282615064259	0.03270257360951431	0.4931282158537864	Control	MER0215345,MER0215312	At5g25752_rhomboid_peptidase_(Croceibacter_atlanticus)_[S54.025]	0.10810810810810811	37	0	40
func_b49863ae7e87	4.561282615064259	0.03270257360951431	0.4931282158537864	Control	MER0095937	Mername-AA086_putative_peptidase_(Parvibaculum_lavamentivorans)_[S33.009]	0.10810810810810811	37	0	40
func_d1fd74e90929	4.561282615064259	0.03270257360951431	0.4931282158537864	Control	MER0084866	family_M50_unassigned_peptidases_(Psychroflexus_torquis)_[M50.UPW]	0.10810810810810811	37	0	40
func_df83547e2c74	4.561282615064259	0.03270257360951431	0.4931282158537864	Control	MER0202974,MER0203043,MER0202994	subfamily_M23B_unassigned_peptidases_(Puniceispirillum_marinum)_[M23.UPB]	0.10810810810810811	37	0	40
func_f2eedbf24eaf	4.561282615064259	0.03270257360951431	0.4931282158537864	Control	MER1072137	subfamily_S49C_non-peptidase_homologues_(Thermomicrobium_roseum)_[S49.UNC]	0.10810810810810811	37	0	40
func_288addd05e48	4.520413513230261	0.03349273540731311	0.4931282158537864	Control,Jelly	MER0248341	alanyl_aminopeptidase_(bacterial-type)_(Alteromonas_sp._SN2)_[M01.005]	0.02702702702702703	37	0.175	40
func_558efc03a6d7	4.520413513230261	0.03349273540731311	0.4931282158537864	Control,Jelly	MER0215295,MER0212728	family_S9_unassigned_peptidases_(Croceibacter_atlanticus)_[S09.UPW]	0.02702702702702703	37	0.175	40
func_954db212316f	4.520413513230261	0.03349273540731311	0.4931282158537864	Control,Jelly	MER0504954,MER0503886	subfamily_M23B_unassigned_peptidases_(Glaciecola_psychrophila)_[M23.UPB]	0.02702702702702703	37	0.175	40
func_d1214479d2a8	4.520413513230261	0.03349273540731311	0.4931282158537864	Control,Jelly	MER0080478	family_M14_non-peptidase_homologues_(Pseudoalteromonas_atlantica)_[M14.UNW]	0.02702702702702703	37	0.175	40
func_d5ad30cef8fc	4.520413513230261	0.03349273540731311	0.4931282158537864	Control,Jelly	MER0112254	family_M75_unassigned_peptidases_(Haliangium_ochraceum)_[M75.UPW]	0.02702702702702703	37	0.175	40
func_ff4e86abbc4a	4.520413513230261	0.03349273540731311	0.4931282158537864	Control,Jelly	MER0057581,MER0867377,MER0057829,MER0860300,MER0869992,MER0057858	family_M38_non-peptidase_homologues_(Colwellia_psychrerythraea)_[M38.UNW]	0.02702702702702703	37	0.175	40
func_ab7db1c3a965	4.438877524025244	0.03512933681317418	0.4931282158537864	Control,Jelly	MER0850887,MER0854162,MER1216474,MER1226053,MER0854009,MER0851862,MER0851572,MER1230321,MER0852919,MER0933269,MER0854658,MER0796628,MER0840372,MER0370255,MER0474901,MER0172689,MER1221331,MER1227743	family_M20_unassigned_peptidases_()_[M20.UPW]	0.32432432432432434	37	0.125	40
func_25e82f334bb4	4.375473035051982	0.036459709154209145	0.4931282158537864	Control,Jelly	MER0203009	subfamily_M16B_unassigned_peptidases_(Puniceispirillum_marinum)_[M16.UPB]	0.16216216216216217	37	0.025	40
func_2782b68969f7	4.375473035051982	0.036459709154209145	0.4931282158537864	Control,Jelly	MER0202963	alanyl_aminopeptidase_(bacterial-type)_(Puniceispirillum_marinum)_[M01.005]	0.16216216216216217	37	0.025	40
func_372562d5be2e	4.375473035051982	0.036459709154209145	0.4931282158537864	Control,Jelly	MER0508257	pantetheinyl_hydrolase_ThnT_precursor_(Variovorax_paradoxus)_[P01.101]	0.16216216216216217	37	0.025	40
func_535cfa6cc65c	4.375473035051982	0.036459709154209145	0.4931282158537864	Control,Jelly	MER0328728	HflC_(Puniceispirillum_marinum)_[I87.001]	0.16216216216216217	37	0.025	40
