MODULE	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	sample_ids	p_Control	N_Control	p_Jelly	N_Jelly
NADH:quinone oxidoreductase, prokaryotes	6.206065234302028	0.012731330981859135	0.09335120484311517	Control	M00144	T3J_bin_11,T3C_bin_36,T3C_bin_11,T3C_bin_40,T3C_bin_14,T3C_bin_29,T3C_bin_9,T3C_bin_20,T3C_bin_35,T3C_bin_19,T3C_bin_18,T3C_bin_32,T3C_bin_34,T3C_bin_1,T3C_bin_27,T3C_bin_22,T3C_bin_44,T3C_bin_45,T3C_bin_42,T3C_bin_24	0.3958333333333333	48	0.0625	16
Dissimilatory nitrate reduction, nitrate => ammonia	5.688897282545912	0.017072579431797956	0.09816504775025044	Jelly	M00530	T3J_bin_3,T3J_bin_8,T3J_bin_18,T3C_bin_7	0.02083333333333333	48	0.1875	16
Hydroxyproline degradation, trans-4-hydroxy-L-proline => 2-oxoglutarate	5.688897282545912	0.017072579431797956	0.09816504775025044	Jelly	M00948	T3J_bin_8,T3J_bin_13,T3J_bin_5,T3C_bin_4	0.02083333333333333	48	0.1875	16
Polyamine biosynthesis, arginine => ornithine => putrescine	5.688897282545912	0.017072579431797956	0.09816504775025044	Jelly	M00134	T3J_bin_13,T3J_bin_12,T3J_bin_14,T3C_bin_34	0.02083333333333333	48	0.1875	16
Cytochrome c oxidase, prokaryotes	5.417998748361114	0.019930191289817527	0.09816504775025044	Control	M00155	T3J_bin_3,T3J_bin_8,T3J_bin_2,T3J_bin_17,T3J_bin_18,T3C_bin_36,T3C_bin_11,T3C_bin_40,T3C_bin_14,T3C_bin_29,T3C_bin_7,T3C_bin_16,T3C_bin_41,T3C_bin_35,T3C_bin_21,T3C_bin_19,T3C_bin_2,T3C_bin_32,T3C_bin_34,T3C_bin_27,T3C_bin_31,T3C_bin_22,T3C_bin_28,T3C_bin_13,T3C_bin_8,T3C_bin_10,T3C_bin_12,T3C_bin_26,T3C_bin_44,T3C_bin_17,T3C_bin_30,T3C_bin_33,T3C_bin_3,T3C_bin_6,T3C_bin_46,T3C_bin_24	0.6458333333333334	48	0.3125	16
Coenzyme A biosynthesis, pantothenate => CoA	5.2149268381339375	0.022393789189360223	0.09816504775025044	Control	M00120	T3J_bin_6,T3J_bin_3,T3J_bin_8,T3J_bin_7,T3J_bin_16,T3J_bin_1,T3J_bin_2,T3J_bin_17,T3J_bin_5,T3J_bin_10,T3J_bin_14,T3C_bin_36,T3C_bin_11,T3C_bin_40,T3C_bin_14,T3C_bin_29,T3C_bin_9,T3C_bin_7,T3C_bin_16,T3C_bin_20,T3C_bin_41,T3C_bin_35,T3C_bin_21,T3C_bin_19,T3C_bin_2,T3C_bin_18,T3C_bin_32,T3C_bin_34,T3C_bin_1,T3C_bin_27,T3C_bin_31,T3C_bin_22,T3C_bin_28,T3C_bin_5,T3C_bin_13,T3C_bin_8,T3C_bin_10,T3C_bin_38,T3C_bin_4,T3C_bin_12,T3C_bin_39,T3C_bin_26,T3C_bin_44,T3C_bin_17,T3C_bin_15,T3C_bin_37,T3C_bin_43,T3C_bin_30,T3C_bin_48,T3C_bin_33,T3C_bin_3,T3C_bin_46,T3C_bin_24,T3C_bin_47,T3C_bin_23	0.9166666666666666	48	0.6875	16
De novo purine biosynthesis, PRPP + glutamine => IMP	5.2149268381339375	0.022393789189360223	0.09816504775025044	Control	M00048	T3J_bin_6,T3J_bin_3,T3J_bin_8,T3J_bin_7,T3J_bin_16,T3J_bin_1,T3J_bin_2,T3J_bin_17,T3J_bin_18,T3J_bin_10,T3J_bin_14,T3C_bin_36,T3C_bin_11,T3C_bin_40,T3C_bin_14,T3C_bin_29,T3C_bin_9,T3C_bin_7,T3C_bin_16,T3C_bin_20,T3C_bin_41,T3C_bin_35,T3C_bin_21,T3C_bin_19,T3C_bin_2,T3C_bin_18,T3C_bin_32,T3C_bin_34,T3C_bin_1,T3C_bin_27,T3C_bin_31,T3C_bin_22,T3C_bin_28,T3C_bin_5,T3C_bin_13,T3C_bin_8,T3C_bin_10,T3C_bin_38,T3C_bin_4,T3C_bin_12,T3C_bin_39,T3C_bin_26,T3C_bin_44,T3C_bin_17,T3C_bin_15,T3C_bin_37,T3C_bin_43,T3C_bin_30,T3C_bin_48,T3C_bin_33,T3C_bin_42,T3C_bin_3,T3C_bin_46,T3C_bin_24,T3C_bin_47	0.9166666666666666	48	0.6875	16
Phosphate acetyltransferase-acetate kinase pathway, acetyl-CoA => acetate	4.923086897519001	0.026500127618322152	0.09816504775025044	Jelly	M00579	T3J_bin_6,T3J_bin_3,T3J_bin_8,T3J_bin_9,T3J_bin_18,T3J_bin_5,T3C_bin_7,T3C_bin_16,T3C_bin_41,T3C_bin_2,T3C_bin_25,T3C_bin_6	0.125	48	0.375	16
Thiosulfate oxidation by SOX complex, thiosulfate => sulfate	4.923086897519001	0.026500127618322152	0.09816504775025044	Jelly	M00595	T3J_bin_7,T3J_bin_2,T3J_bin_17,T3J_bin_13,T3J_bin_12,T3J_bin_14,T3C_bin_20,T3C_bin_35,T3C_bin_19,T3C_bin_34,T3C_bin_42,T3C_bin_3	0.125	48	0.375	16
Pyrimidine deoxyribonucleotide biosynthesis, UDP => dTTP	4.923077956039144	0.02650026475927066	0.09816504775025044	Control	M00938	T3J_bin_6,T3J_bin_7,T3J_bin_16,T3J_bin_1,T3J_bin_9,T3J_bin_10,T3C_bin_36,T3C_bin_11,T3C_bin_40,T3C_bin_14,T3C_bin_29,T3C_bin_9,T3C_bin_7,T3C_bin_16,T3C_bin_20,T3C_bin_41,T3C_bin_35,T3C_bin_21,T3C_bin_19,T3C_bin_2,T3C_bin_32,T3C_bin_34,T3C_bin_1,T3C_bin_31,T3C_bin_5,T3C_bin_13,T3C_bin_8,T3C_bin_10,T3C_bin_38,T3C_bin_4,T3C_bin_12,T3C_bin_39,T3C_bin_44,T3C_bin_15,T3C_bin_37,T3C_bin_43,T3C_bin_30,T3C_bin_33,T3C_bin_47	0.6875	48	0.375	16
Tetrahydrofolate biosynthesis, GTP => THF	4.923077956039144	0.02650026475927066	0.09816504775025044	Control	M00126	T3J_bin_6,T3J_bin_3,T3J_bin_8,T3J_bin_7,T3J_bin_18,T3J_bin_13,T3C_bin_36,T3C_bin_11,T3C_bin_40,T3C_bin_14,T3C_bin_29,T3C_bin_9,T3C_bin_7,T3C_bin_16,T3C_bin_20,T3C_bin_41,T3C_bin_21,T3C_bin_19,T3C_bin_2,T3C_bin_32,T3C_bin_1,T3C_bin_27,T3C_bin_31,T3C_bin_28,T3C_bin_5,T3C_bin_8,T3C_bin_10,T3C_bin_12,T3C_bin_26,T3C_bin_17,T3C_bin_15,T3C_bin_37,T3C_bin_43,T3C_bin_25,T3C_bin_3,T3C_bin_6,T3C_bin_46,T3C_bin_47,T3C_bin_23	0.6875	48	0.375	16
Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP	4.90521646990886	0.026775695415153882	0.09816504775025044	Control	M00052	T3J_bin_6,T3J_bin_8,T3J_bin_7,T3J_bin_1,T3J_bin_17,T3J_bin_13,T3J_bin_5,T3J_bin_12,T3J_bin_14,T3C_bin_36,T3C_bin_11,T3C_bin_40,T3C_bin_14,T3C_bin_29,T3C_bin_9,T3C_bin_7,T3C_bin_16,T3C_bin_20,T3C_bin_41,T3C_bin_35,T3C_bin_21,T3C_bin_19,T3C_bin_2,T3C_bin_18,T3C_bin_32,T3C_bin_34,T3C_bin_1,T3C_bin_27,T3C_bin_31,T3C_bin_28,T3C_bin_5,T3C_bin_13,T3C_bin_8,T3C_bin_10,T3C_bin_38,T3C_bin_4,T3C_bin_12,T3C_bin_39,T3C_bin_26,T3C_bin_44,T3C_bin_17,T3C_bin_15,T3C_bin_43,T3C_bin_30,T3C_bin_33,T3C_bin_6,T3C_bin_46,T3C_bin_24,T3C_bin_47	0.8333333333333334	48	0.5625	16
Glyoxylate cycle	4.692083701872402	0.030301879883147736	0.10626262503409263	Control	M00012	T3J_bin_3,T3J_bin_8,T3J_bin_1,T3J_bin_14,T3C_bin_36,T3C_bin_11,T3C_bin_40,T3C_bin_14,T3C_bin_29,T3C_bin_9,T3C_bin_20,T3C_bin_41,T3C_bin_35,T3C_bin_21,T3C_bin_19,T3C_bin_18,T3C_bin_32,T3C_bin_34,T3C_bin_27,T3C_bin_22,T3C_bin_28,T3C_bin_10,T3C_bin_38,T3C_bin_39,T3C_bin_44,T3C_bin_15,T3C_bin_43,T3C_bin_33,T3C_bin_3,T3C_bin_6,T3C_bin_23	0.5625	48	0.25	16
Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine	4.232118759219508	0.039665895089123784	0.1291354817370224	Control	M00526	T3J_bin_6,T3J_bin_3,T3J_bin_8,T3J_bin_7,T3J_bin_9,T3J_bin_5,T3C_bin_36,T3C_bin_40,T3C_bin_14,T3C_bin_29,T3C_bin_9,T3C_bin_16,T3C_bin_20,T3C_bin_41,T3C_bin_35,T3C_bin_21,T3C_bin_19,T3C_bin_18,T3C_bin_32,T3C_bin_34,T3C_bin_1,T3C_bin_27,T3C_bin_31,T3C_bin_28,T3C_bin_5,T3C_bin_8,T3C_bin_10,T3C_bin_38,T3C_bin_4,T3C_bin_12,T3C_bin_39,T3C_bin_26,T3C_bin_17,T3C_bin_15,T3C_bin_37,T3C_bin_43,T3C_bin_48,T3C_bin_24	0.6666666666666666	48	0.375	16
Heme biosynthesis, animals and fungi, glycine => heme	4.216764150285657	0.0400264240212504	0.1291354817370224	Control	M00868	T3J_bin_6,T3J_bin_3,T3J_bin_7,T3J_bin_1,T3J_bin_2,T3J_bin_18,T3J_bin_12,T3J_bin_14,T3C_bin_36,T3C_bin_11,T3C_bin_40,T3C_bin_14,T3C_bin_29,T3C_bin_9,T3C_bin_7,T3C_bin_16,T3C_bin_20,T3C_bin_41,T3C_bin_35,T3C_bin_21,T3C_bin_19,T3C_bin_2,T3C_bin_18,T3C_bin_32,T3C_bin_34,T3C_bin_1,T3C_bin_27,T3C_bin_31,T3C_bin_22,T3C_bin_28,T3C_bin_5,T3C_bin_13,T3C_bin_8,T3C_bin_38,T3C_bin_4,T3C_bin_12,T3C_bin_39,T3C_bin_26,T3C_bin_44,T3C_bin_17,T3C_bin_15,T3C_bin_45,T3C_bin_43,T3C_bin_42,T3C_bin_3	0.7708333333333334	48	0.5	16
Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	3.95063314354472	0.04685373603154208	0.13482340742132334	Jelly	M00006	T3J_bin_3,T3J_bin_8,T3J_bin_9,T3J_bin_5,T3J_bin_14,T3C_bin_41,T3C_bin_35,T3C_bin_34,T3C_bin_12,T3C_bin_33	0.10416666666666669	48	0.3125	16
De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP	3.893415514435298	0.04847574507782013	0.13482340742132334	Control	M00051	T3J_bin_6,T3J_bin_3,T3J_bin_8,T3J_bin_7,T3J_bin_16,T3J_bin_1,T3J_bin_9,T3J_bin_17,T3J_bin_11,T3J_bin_18,T3C_bin_36,T3C_bin_11,T3C_bin_40,T3C_bin_14,T3C_bin_29,T3C_bin_9,T3C_bin_7,T3C_bin_16,T3C_bin_20,T3C_bin_41,T3C_bin_35,T3C_bin_21,T3C_bin_19,T3C_bin_2,T3C_bin_18,T3C_bin_32,T3C_bin_34,T3C_bin_1,T3C_bin_27,T3C_bin_31,T3C_bin_22,T3C_bin_28,T3C_bin_5,T3C_bin_13,T3C_bin_8,T3C_bin_10,T3C_bin_38,T3C_bin_12,T3C_bin_39,T3C_bin_26,T3C_bin_17,T3C_bin_37,T3C_bin_30,T3C_bin_48,T3C_bin_42,T3C_bin_3,T3C_bin_6,T3C_bin_46,T3C_bin_24,T3C_bin_47,T3C_bin_23	0.8541666666666666	48	0.625	16
Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine	3.893415514435298	0.04847574507782013	0.13482340742132334	Control	M00570	T3J_bin_6,T3J_bin_3,T3J_bin_8,T3J_bin_7,T3J_bin_1,T3J_bin_17,T3J_bin_11,T3J_bin_18,T3J_bin_13,T3J_bin_14,T3C_bin_36,T3C_bin_11,T3C_bin_40,T3C_bin_14,T3C_bin_29,T3C_bin_9,T3C_bin_7,T3C_bin_16,T3C_bin_20,T3C_bin_41,T3C_bin_35,T3C_bin_21,T3C_bin_19,T3C_bin_2,T3C_bin_18,T3C_bin_32,T3C_bin_34,T3C_bin_1,T3C_bin_27,T3C_bin_31,T3C_bin_22,T3C_bin_28,T3C_bin_5,T3C_bin_13,T3C_bin_8,T3C_bin_10,T3C_bin_38,T3C_bin_4,T3C_bin_39,T3C_bin_26,T3C_bin_44,T3C_bin_17,T3C_bin_45,T3C_bin_37,T3C_bin_43,T3C_bin_48,T3C_bin_33,T3C_bin_3,T3C_bin_46,T3C_bin_24,T3C_bin_23	0.8541666666666666	48	0.625	16
Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP	3.8934155144352944	0.048475745077820084	0.13482340742132334	Jelly	M00572	T3J_bin_6,T3J_bin_3,T3J_bin_8,T3J_bin_18,T3J_bin_5,T3J_bin_10,T3C_bin_7,T3C_bin_16,T3C_bin_41,T3C_bin_21,T3C_bin_2,T3C_bin_1,T3C_bin_6	0.14583333333333334	48	0.375	16
NAD biosynthesis, aspartate => quinolinate => NAD	3.55206345951264	0.05947145011246709	0.14752152859540316	Control	M00115	T3J_bin_6,T3J_bin_3,T3J_bin_8,T3J_bin_18,T3C_bin_36,T3C_bin_7,T3C_bin_16,T3C_bin_41,T3C_bin_35,T3C_bin_21,T3C_bin_19,T3C_bin_1,T3C_bin_31,T3C_bin_28,T3C_bin_5,T3C_bin_8,T3C_bin_10,T3C_bin_4,T3C_bin_39,T3C_bin_26,T3C_bin_17,T3C_bin_15,T3C_bin_37,T3C_bin_43,T3C_bin_33,T3C_bin_3,T3C_bin_46,T3C_bin_47,T3C_bin_23	0.5208333333333334	48	0.25	16
Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P	3.543502860068355	0.0597790916557136	0.14752152859540316	Jelly	M00166	T3J_bin_8,T3J_bin_1,T3J_bin_18,T3C_bin_39,T3C_bin_33	0.04166666666666666	48	0.1875	16
Thiamine biosynthesis, prokaryotes, AIR (+ DXP/tyrosine) => TMP/TPP	3.543502860068355	0.0597790916557136	0.14752152859540316	Jelly	M00127	T3J_bin_3,T3J_bin_8,T3J_bin_18,T3C_bin_16,T3C_bin_2	0.04166666666666666	48	0.1875	16
Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine	3.5242754313438915	0.06047625341608259	0.14752152859540316	Control	M00527	T3J_bin_6,T3J_bin_3,T3J_bin_8,T3J_bin_9,T3J_bin_5,T3C_bin_36,T3C_bin_40,T3C_bin_14,T3C_bin_29,T3C_bin_9,T3C_bin_16,T3C_bin_41,T3C_bin_35,T3C_bin_21,T3C_bin_19,T3C_bin_18,T3C_bin_32,T3C_bin_34,T3C_bin_1,T3C_bin_31,T3C_bin_28,T3C_bin_5,T3C_bin_8,T3C_bin_10,T3C_bin_4,T3C_bin_12,T3C_bin_39,T3C_bin_26,T3C_bin_17,T3C_bin_15,T3C_bin_37,T3C_bin_43,T3C_bin_48	0.5833333333333334	48	0.3125	16
F-type ATPase, prokaryotes and chloroplasts	3.2000075148197284	0.07363793175844444	0.14752152859540316	Control	M00157	T3J_bin_7,T3J_bin_16,T3J_bin_1,T3J_bin_11,T3J_bin_18,T3J_bin_13,T3J_bin_10,T3C_bin_36,T3C_bin_11,T3C_bin_40,T3C_bin_14,T3C_bin_29,T3C_bin_9,T3C_bin_7,T3C_bin_16,T3C_bin_20,T3C_bin_41,T3C_bin_35,T3C_bin_21,T3C_bin_19,T3C_bin_32,T3C_bin_34,T3C_bin_1,T3C_bin_27,T3C_bin_31,T3C_bin_28,T3C_bin_5,T3C_bin_13,T3C_bin_8,T3C_bin_10,T3C_bin_4,T3C_bin_12,T3C_bin_39,T3C_bin_26,T3C_bin_44,T3C_bin_15,T3C_bin_37,T3C_bin_43,T3C_bin_30,T3C_bin_42	0.6875	48	0.4375	16
D-Arginine racemization, D-arginine => L-arginine	3.04794328549817	0.08083945609827922	0.14752152859540316	Jelly	M00947	T3J_bin_13	0	48	0.0625	16
Phenylalanine biosynthesis, chorismate => phenylpyruvate => phenylalanine	3.04794328549817	0.08083945609827922	0.14752152859540316	Jelly	M00024	T3J_bin_3	0	48	0.0625	16
Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate	3.04794328549817	0.08083945609827922	0.14752152859540316	Jelly	M00038	T3J_bin_8	0	48	0.0625	16
Tyrosine biosynthesis, chorismate => HPP => tyrosine	3.04794328549817	0.08083945609827922	0.14752152859540316	Jelly	M00025	T3J_bin_3	0	48	0.0625	16
Cysteine biosynthesis, homocysteine + serine => cysteine	3.0476803133421364	0.0808525479728942	0.14752152859540316	Control	M00338	T3C_bin_31,T3C_bin_5,T3C_bin_8,T3C_bin_4,T3C_bin_26,T3C_bin_17,T3C_bin_30,T3C_bin_48	0.16666666666666666	48	0	16
Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	3.0476412068094136	0.08085449505802701	0.14752152859540316	Control	M00049	T3J_bin_6,T3J_bin_3,T3J_bin_8,T3J_bin_7,T3J_bin_16,T3J_bin_1,T3J_bin_9,T3J_bin_17,T3J_bin_13,T3J_bin_5,T3J_bin_10,T3J_bin_14,T3C_bin_36,T3C_bin_11,T3C_bin_40,T3C_bin_14,T3C_bin_29,T3C_bin_9,T3C_bin_7,T3C_bin_16,T3C_bin_20,T3C_bin_41,T3C_bin_35,T3C_bin_21,T3C_bin_19,T3C_bin_2,T3C_bin_18,T3C_bin_32,T3C_bin_34,T3C_bin_1,T3C_bin_27,T3C_bin_31,T3C_bin_22,T3C_bin_28,T3C_bin_5,T3C_bin_13,T3C_bin_8,T3C_bin_10,T3C_bin_38,T3C_bin_4,T3C_bin_12,T3C_bin_39,T3C_bin_26,T3C_bin_44,T3C_bin_17,T3C_bin_15,T3C_bin_37,T3C_bin_30,T3C_bin_48,T3C_bin_33,T3C_bin_3,T3C_bin_6,T3C_bin_46,T3C_bin_24,T3C_bin_47,T3C_bin_23	0.9166666666666666	48	0.75	16
Glycolysis, core module involving three-carbon compounds	3.047619339431769	0.08085558384051314	0.14752152859540316	Control	M00002	T3J_bin_3,T3J_bin_8,T3J_bin_7,T3J_bin_16,T3J_bin_1,T3J_bin_17,T3J_bin_18,T3J_bin_10,T3J_bin_12,T3J_bin_14,T3C_bin_36,T3C_bin_11,T3C_bin_40,T3C_bin_14,T3C_bin_29,T3C_bin_9,T3C_bin_7,T3C_bin_16,T3C_bin_20,T3C_bin_41,T3C_bin_35,T3C_bin_21,T3C_bin_19,T3C_bin_2,T3C_bin_18,T3C_bin_32,T3C_bin_34,T3C_bin_1,T3C_bin_27,T3C_bin_31,T3C_bin_22,T3C_bin_28,T3C_bin_5,T3C_bin_13,T3C_bin_8,T3C_bin_10,T3C_bin_38,T3C_bin_4,T3C_bin_12,T3C_bin_39,T3C_bin_44,T3C_bin_17,T3C_bin_15,T3C_bin_45,T3C_bin_30,T3C_bin_48,T3C_bin_33,T3C_bin_42,T3C_bin_24,T3C_bin_47	0.8333333333333334	48	0.625	16
Threonine biosynthesis, aspartate => homoserine => threonine	3.047619339431769	0.08085558384051314	0.14752152859540316	Control	M00018	T3J_bin_6,T3J_bin_3,T3J_bin_8,T3J_bin_7,T3J_bin_1,T3J_bin_9,T3J_bin_18,T3J_bin_5,T3J_bin_12,T3J_bin_14,T3C_bin_36,T3C_bin_11,T3C_bin_40,T3C_bin_14,T3C_bin_29,T3C_bin_9,T3C_bin_7,T3C_bin_16,T3C_bin_20,T3C_bin_41,T3C_bin_35,T3C_bin_21,T3C_bin_19,T3C_bin_2,T3C_bin_32,T3C_bin_34,T3C_bin_1,T3C_bin_27,T3C_bin_31,T3C_bin_28,T3C_bin_5,T3C_bin_8,T3C_bin_10,T3C_bin_38,T3C_bin_4,T3C_bin_12,T3C_bin_39,T3C_bin_26,T3C_bin_44,T3C_bin_17,T3C_bin_15,T3C_bin_37,T3C_bin_43,T3C_bin_48,T3C_bin_33,T3C_bin_3,T3C_bin_6,T3C_bin_24,T3C_bin_47,T3C_bin_23	0.8333333333333334	48	0.625	16
Biotin biosynthesis, BioU pathway, pimeloyl-ACP/CoA => biotin	3.047619339431767	0.0808555838405136	0.14752152859540316	Jelly	M00950	T3J_bin_6,T3J_bin_3,T3J_bin_8,T3J_bin_9,T3J_bin_18,T3J_bin_10,T3C_bin_7,T3C_bin_16,T3C_bin_41,T3C_bin_35,T3C_bin_21,T3C_bin_2,T3C_bin_1,T3C_bin_6	0.16666666666666666	48	0.375	16
