key	function	accession	associated_groups	p_Control	N_Control	p_Jelly	N_Jelly
func_0854788d2872	Opacity protein LomR and related surface antigens (LomR) (PDB:1Q9F)	COG3637	Control,Jelly	0.08108108108108109	37	0.1	40
func_085bb170ed8f	Coproporphyrinogen-III oxidase HemH, oxygen-dependent (HemF) (PDB:3E8J)	COG0408	Control,Jelly	0.8648648648648649	37	0.675	40
func_089687f82272	DNA-binding ferritin-like protein (oxidative damage protectant) (Dps) (PDB:1DPS)	COG0783	Control,Jelly	0.05405405405405406	37	0.35	40
func_08a361fb7beb	PepSY-associated TM region (PiuB) (PUBMED:15124630)	COG3182	Control,Jelly	0.2702702702702703	37	0.5	40
func_08d284545016	Archaeal/vacuolar-type H+-ATPase subunit B/Vma2 (NtpB) (PDB:3GQB)	COG1156		0	37	0	40
func_08ee4b30f39e	tRNA 5-hydroxyU34 O-methylase TrmR/YrrM (TrmR) (PDB:1H1D) (PUBMED:29982645)	COG4122	Control,Jelly	0.40540540540540543	37	0.425	40
func_091e5a8260f4	ABC-type antimicrobial peptide transport system, permease component (SalY)	COG0577	Control,Jelly	0.3783783783783784	37	0.525	40
func_092908149091	Uncharacterized conserved protein YbaA, DUF1428 family (YbaA)	COG5507	Jelly	0	37	0.175	40
func_0931cadd0d09	GTP cyclohydrolase FolE2 (FolE2) (PDB:2R5R) (PUBMED:19767425)	COG1469	Control,Jelly	0.24324324324324326	37	0.325	40
func_094e8077f8c5	UDP-N-acetylmuramyl pentapeptide synthase (MurF) (PDB:4CVK)	COG0770	Control,Jelly	0.8918918918918919	37	0.85	40
func_094eaf2af8f6	ABC-type sulfate transport system, permease component (CysU) (PDB:3D31)	COG0555	Control,Jelly	0.02702702702702703	37	0.025	40
func_09564de9180b	Membrane-associated serine protease, rhomboid family (GlpG) (PDB:2IC8)	COG0705	Control,Jelly	0.972972972972973	37	0.925	40
func_098bb8fe6107	Uncharacterized conserved protein, DUF1499 family	COG4446	Control,Jelly	0.35135135135135137	37	0.375	40
func_09979af0b71a	Multicopper oxidase with three cupredoxin domains (includes cell division protein FtsP and spore coat protein CotA) (SufI) (PDB:2YXV)	COG2132	Control,Jelly	0.24324324324324326	37	0.3	40
func_09a3bddfe56c	Glycine cleavage system protein P (pyridoxal-binding), N-terminal domain (GcvP1) (PDB:4LGL)	COG0403	Control,Jelly	0.8378378378378378	37	0.85	40
func_09b1d0c440ca	DNA repair exonuclease SbcCD nuclease subunit (SbcD) (PDB:6S85)	COG0420	Control,Jelly	0.16216216216216217	37	0.45	40
func_09efe1c9ee25	Trimethylamine:corrinoid methyltransferase (MttB2)	COG5598	Control,Jelly	0.40540540540540543	37	0.3	40
func_0a45fc960b35	Lysophospholipase L1 or related esterase. Includes spore coat protein LipC/YcsK (TesA) (PDB:1BWP)	COG2755	Control,Jelly	0.8108108108108109	37	0.875	40
func_0a5c4210000b	Putative antitoxin component PasI (RatB) of the RatAB toxin-antitoxin module, ubiquitin-RnfH superfamily (PasI) (PDB:2HJ1) (PUBMED:23055930)	COG2914	Control,Jelly	0.1891891891891892	37	0.375	40
func_0a642355a0f6	Predicted nuclease, RecB family	COG2251	Control,Jelly	0.02702702702702703	37	0.025	40
func_0a6deba5ea5d	Predicted membrane protein, encoded in cydAB operon (YbgE)	COG3790	Control,Jelly	0.02702702702702703	37	0.025	40
func_0a8850e98522	Endo-1,4-beta-D-glucanase Y (BcsZ) (PDB:1CEM)	COG3405	Control,Jelly	0.05405405405405406	37	0.15	40
func_0a97eee6165b	DNA-binding transcriptional regulator, XRE-family HTH domain (XRE) (PDB:1UTX)	COG1476	Control,Jelly	0.32432432432432434	37	0.55	40
func_0a990520aaa7	Ribosomal protein L31 (RpmE) (PDB:1VS6)	COG0254	Control,Jelly	0.8108108108108109	37	0.8	40
func_0a99528525a3	3-methyladenine DNA glycosylase/8-oxoguanine DNA glycosylase (AlkA) (PDB:1DIZ)	COG0122	Control,Jelly	0.5405405405405406	37	0.525	40
func_0aa9eb2e65d6	Redox-sensing c-di-GMP phosphodiesterase, contains CSS-motif and EAL domains (YjcC) (PUBMED:29514851)	COG4943	Jelly	0	37	0.15	40
func_0acefb71b4f7	Uncharacterized membrane protein, DsbD domain (DsbD) (PUBMED:17768248)	COG2836	Control,Jelly	0.21621621621621623	37	0.6	40
func_0afa6d1433bc	O-succinylbenzoic acid-CoA ligase MenE or related acyl-CoA synthetase (AMP-forming) (MenE/FadK) (PDB:5EY9) (PUBMED:25151136;27455459)	COG0318	Control,Jelly	1.0	37	0.925	40
func_0b042b326f10	Predicted nuclease of the RNAse H fold, HicB family (HicB)	COG4226	Control	0.08108108108108109	37	0	40
func_0b4afe1e7b92	Type III secretory pathway, EscS/YscS component (EscS) (PDB:6R6B)	COG4794	Jelly	0	37	0.025	40
func_0b563608ba0f	2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway) (YcgM) (PDB:1GTT)	COG0179	Control,Jelly	0.972972972972973	37	0.975	40
func_0b592eb42826	Monomeric isocitrate dehydrogenase (IcdM) (PDB:1ITW)	COG2838	Control,Jelly	0.35135135135135137	37	0.875	40
func_0b75936a5e18	ABC-type sugar transport system, ATPase component (MglA)	COG1129	Control,Jelly	0.5135135135135135	37	0.375	40
func_0b99b95c3098	FoF1-type ATP synthase, alpha subunit (AtpA) (PDB:3OAA)	COG0056	Control,Jelly	0.8108108108108109	37	0.725	40
func_0b9f649bbe21	Ribosomal protein L10 (RplJ) (PDB:5IT8)	COG0244	Control,Jelly	0.6486486486486487	37	0.45	40
func_0bae8f98fc1d	Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide acyltransferase (E2) component (AceF) (PDB:1B5S)	COG0508	Control,Jelly	0.972972972972973	37	0.975	40
func_0bb1a7fcda63	Transposase InsE and inactivated derivatives (InsE) (PDB:2JN6) (PUBMED:23818957)	COG2963	Control,Jelly	0.21621621621621623	37	0.275	40
func_0bb3668e437e	Cobyric acid synthase (CobQ)	COG1492	Control,Jelly	0.35135135135135137	37	0.45	40
func_0bc9416ed555	tRNA G37 N-methylase TrmD (TrmD) (PDB:1P9P)	COG0336	Control,Jelly	0.7837837837837838	37	0.725	40
func_0bcd9c2bf4db	Outer membrane lipoprotein SlyB (SlyB)	COG3133	Control,Jelly	0.05405405405405406	37	0.2	40
func_0bd106a42e86	UDP-N-acetyl-D-mannosaminuronic acid transferase, WecB/TagA/CpsF family (WecG)	COG1922	Control,Jelly	0.05405405405405406	37	0.2	40
func_0bd3dd77738d	Phosphate transport regulator YkaA, distantly related to PhoU, UPF0111/DUF47 family (YkaA) (PDB:2IIU)	COG1392	Control,Jelly	0.05405405405405406	37	0.275	40
func_0bd57fefa0f6	Gamma-glutamyl phosphate reductase (ProA) (PDB:4GHK)	COG0014	Control,Jelly	0.6756756756756757	37	0.75	40
func_0bd70b7858ba	Ribosomal protein L20 (RplT) (PDB:1VS6) (PUBMED:30270044)	COG0292	Control,Jelly	0.8648648648648649	37	0.7	40
func_0bdb28603198	Inosine/xanthosine triphosphate pyrophosphatase, all-alpha NTP-PPase family (RdgB) (PDB:1B78)	COG0127	Control,Jelly	0.8378378378378378	37	0.825	40
func_0be0f0441a29	Uncharacterized conserved protein, DUF1476 domain (PUBMED:16468998)	COG5467	Control,Jelly	0.05405405405405406	37	0.125	40
func_0be782d7bd99	Flagellar biosynthesis regulator FlaF (FlaF)	COG5442	Control,Jelly	0.02702702702702703	37	0.05	40
func_0bf3c659e4c4	Preprotein translocase subunit SecB (SecB) (PDB:1OZB)	COG1952	Control,Jelly	0.5405405405405406	37	0.625	40
func_0bfa2ad5c837	Putative NADPH-quinone reductase (modulator of drug activity B) (MdaB) (PDB:1D4A)	COG2249	Control,Jelly	0.13513513513513514	37	0.5	40
func_0c0458a4d118	Glycine/D-amino acid oxidase (deaminating) (DadA) (PDB:3AWI)	COG0665	Control,Jelly	0.9459459459459459	37	1.0	40
func_0c0d79404cab	Tellurite resistance protein TerB (TerB2) (PDB:2JXU) (PUBMED:23044854)	COG4103	Control,Jelly	0.6486486486486487	37	0.575	40
func_0c17e704aa32	Predicted HD phosphohydrolase (PDB:4MLN)	COG4341	Control,Jelly	0.43243243243243246	37	0.275	40
func_0c5a3a374db0	Uncharacterized protein CV0675, UCP033623 family	COG4994	Jelly	0	37	0.125	40
func_0c6933a3b540	Thiamine monophosphate kinase (ThiL) (PDB:5CC8)	COG0611	Control,Jelly	0.5135135135135135	37	0.675	40
func_0c73bd690c25	5-Methylthioribose/5-deoxyribose kinase, methionine salvage pathway (MthN) (PDB:2OLC) (PUBMED:31950558)	COG4857	Control,Jelly	0.02702702702702703	37	0.075	40
func_0c90ad40baa5	Zn-dependent protease with chaperone function (HtpX) (PDB:2YPT)	COG0501	Control,Jelly	0.2702702702702703	37	0.375	40
func_0cb19872de57	UDP-3-O-acyl-N-acetylglucosamine deacetylase (LpxC) (PDB:1P42)	COG0774	Control,Jelly	0.6216216216216216	37	0.6	40
