MODULE	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	sample_ids	p_Jelly	N_Jelly	p_Control	N_Control
Biotin biosynthesis, pimeloyl-ACP/CoA => biotin	5.327568192398932	0.02099065326580871	0.19428610021494264	Jelly	M00123	T4J_bin_31,T4J_bin_15,T4J_bin_32,T4J_bin_9,T4J_bin_1,T4J_bin_28,T4J_bin_33,T4J_bin_6,T4J_bin_4,T4J_bin_8,T4J_bin_10,T4J_bin_18,T4J_bin_35,T4J_bin_27,T4J_bin_20,T4J_bin_5,T4C_bin_7,T4C_bin_28,T4C_bin_36,T4C_bin_25,T4C_bin_24,T4C_bin_33	0.4	40	0.16216216216216217	37
Deoxyribonucleotide biosynthesis, ADP/GDP/CDP/UDP => dATP/dGTP/dCTP/dUTP	5.255809589458511	0.02187362304828196	0.19428610021494264	Control	M00053	T4J_bin_2,T4J_bin_24,T4J_bin_17,T4J_bin_31,T4J_bin_14,T4J_bin_19,T4J_bin_15,T4J_bin_32,T4J_bin_11,T4J_bin_9,T4J_bin_1,T4J_bin_28,T4J_bin_21,T4J_bin_6,T4J_bin_4,T4J_bin_8,T4J_bin_13,T4J_bin_37,T4J_bin_10,T4J_bin_3,T4J_bin_22,T4J_bin_26,T4J_bin_39,T4J_bin_34,T4J_bin_36,T4J_bin_20,T4J_bin_25,T4C_bin_7,T4C_bin_28,T4C_bin_36,T4C_bin_10,T4C_bin_3,T4C_bin_29,T4C_bin_32,T4C_bin_37,T4C_bin_35,T4C_bin_19,T4C_bin_31,T4C_bin_21,T4C_bin_25,T4C_bin_26,T4C_bin_11,T4C_bin_14,T4C_bin_24,T4C_bin_20,T4C_bin_12,T4C_bin_22,T4C_bin_33,T4C_bin_23,T4C_bin_17,T4C_bin_18,T4C_bin_9,T4C_bin_1,T4C_bin_2,T4C_bin_16,T4C_bin_30,T4C_bin_13,T4C_bin_4,T4C_bin_5,T4C_bin_8	0.675	40	0.8918918918918919	37
Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine	4.946185398812091	0.026148302076708273	0.21773877605256386	Jelly	M00133	T4J_bin_4,T4J_bin_8,T4J_bin_18,T4J_bin_34,T4J_bin_27	0.125	40	0	37
Pentose phosphate pathway (Pentose phosphate cycle)	4.760613725036553	0.02911816374009098	0.22362485506834878	Jelly	M00004	T4J_bin_30,T4J_bin_17,T4J_bin_31,T4J_bin_14,T4J_bin_19,T4J_bin_15,T4J_bin_7,T4J_bin_1,T4J_bin_28,T4J_bin_12,T4J_bin_21,T4J_bin_33,T4J_bin_6,T4J_bin_4,T4J_bin_8,T4J_bin_13,T4J_bin_10,T4J_bin_26,T4J_bin_18,T4J_bin_35,T4J_bin_34,T4J_bin_27,T4J_bin_20,T4J_bin_5,T4C_bin_7,T4C_bin_28,T4C_bin_36,T4C_bin_3,T4C_bin_29,T4C_bin_35,T4C_bin_11,T4C_bin_6,T4C_bin_24,T4C_bin_33,T4C_bin_23,T4C_bin_18,T4C_bin_1	0.6	40	0.35135135135135137	37
Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate	4.697185219676891	0.03021205806435065	0.22362485506834878	Control	M00432	T4J_bin_30,T4J_bin_17,T4J_bin_31,T4J_bin_14,T4J_bin_19,T4J_bin_15,T4J_bin_7,T4J_bin_1,T4J_bin_28,T4J_bin_12,T4J_bin_21,T4J_bin_33,T4J_bin_6,T4J_bin_4,T4J_bin_8,T4J_bin_22,T4J_bin_26,T4J_bin_34,T4J_bin_27,T4J_bin_20,T4J_bin_5,T4J_bin_23,T4C_bin_7,T4C_bin_28,T4C_bin_36,T4C_bin_10,T4C_bin_3,T4C_bin_29,T4C_bin_32,T4C_bin_37,T4C_bin_35,T4C_bin_19,T4C_bin_31,T4C_bin_21,T4C_bin_34,T4C_bin_25,T4C_bin_26,T4C_bin_11,T4C_bin_14,T4C_bin_24,T4C_bin_20,T4C_bin_22,T4C_bin_33,T4C_bin_17,T4C_bin_18,T4C_bin_9,T4C_bin_1,T4C_bin_16,T4C_bin_27,T4C_bin_30,T4C_bin_5	0.55	40	0.7837837837837838	37
Arginine succinyltransferase pathway, arginine => glutamate	4.520413513230261	0.03349273540731311	0.23486012306097057	Jelly	M00879	T4J_bin_33,T4J_bin_4,T4J_bin_8,T4J_bin_35,T4J_bin_27,T4J_bin_20,T4J_bin_5,T4C_bin_23	0.175	40	0.02702702702702703	37
Ornithine biosynthesis, glutamate => ornithine	4.389780793087908	0.03615496137254039	0.24085195327453374	Control	M00028	T4J_bin_30,T4J_bin_17,T4J_bin_31,T4J_bin_14,T4J_bin_19,T4J_bin_15,T4J_bin_7,T4J_bin_1,T4J_bin_28,T4J_bin_12,T4J_bin_21,T4J_bin_6,T4J_bin_29,T4J_bin_8,T4J_bin_13,T4J_bin_37,T4J_bin_10,T4J_bin_22,T4J_bin_40,T4J_bin_26,T4J_bin_18,T4J_bin_35,T4J_bin_34,T4J_bin_27,T4J_bin_23,T4C_bin_7,T4C_bin_28,T4C_bin_36,T4C_bin_10,T4C_bin_3,T4C_bin_29,T4C_bin_32,T4C_bin_37,T4C_bin_35,T4C_bin_31,T4C_bin_21,T4C_bin_34,T4C_bin_25,T4C_bin_26,T4C_bin_11,T4C_bin_14,T4C_bin_6,T4C_bin_24,T4C_bin_20,T4C_bin_22,T4C_bin_33,T4C_bin_23,T4C_bin_17,T4C_bin_9,T4C_bin_1,T4C_bin_2,T4C_bin_30,T4C_bin_13,T4C_bin_15,T4C_bin_5,T4C_bin_8	0.625	40	0.8378378378378378	37
NADH:quinone oxidoreductase, prokaryotes	4.192567102411742	0.040601571917418436	0.2575940454798573	Control	M00144	T4J_bin_30,T4J_bin_17,T4J_bin_7,T4J_bin_29,T4J_bin_22,T4J_bin_26,T4C_bin_28,T4C_bin_10,T4C_bin_3,T4C_bin_29,T4C_bin_32,T4C_bin_19,T4C_bin_31,T4C_bin_26,T4C_bin_11,T4C_bin_6,T4C_bin_1,T4C_bin_16,T4C_bin_5	0.15	40	0.35135135135135137	37
Assimilatory sulfate reduction, sulfate => H2S	3.8682741418684463	0.04920709642597771	0.2850441745690897	Jelly	M00176	T4J_bin_31,T4J_bin_15,T4J_bin_7,T4J_bin_28,T4J_bin_33,T4J_bin_6,T4J_bin_4,T4J_bin_8,T4J_bin_10,T4J_bin_35,T4J_bin_34,T4J_bin_27,T4J_bin_23,T4C_bin_7,T4C_bin_19,T4C_bin_14,T4C_bin_22,T4C_bin_23	0.325	40	0.13513513513513514	37
Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP	3.8682741418684463	0.04920709642597771	0.2850441745690897	Jelly	M00572	T4J_bin_31,T4J_bin_15,T4J_bin_28,T4J_bin_12,T4J_bin_33,T4J_bin_6,T4J_bin_4,T4J_bin_8,T4J_bin_18,T4J_bin_35,T4J_bin_34,T4J_bin_27,T4J_bin_5,T4C_bin_7,T4C_bin_36,T4C_bin_25,T4C_bin_24,T4C_bin_33	0.325	40	0.13513513513513514	37
Dissimilatory nitrate reduction, nitrate => ammonia	3.62299258970221	0.05698628076051216	0.30633857223985833	Jelly	M00530	T4J_bin_31,T4J_bin_28,T4J_bin_12,T4J_bin_33,T4J_bin_4,T4J_bin_16,T4J_bin_27,T4J_bin_25,T4C_bin_7,T4C_bin_33	0.2	40	0.05405405405405406	37
Threonine biosynthesis, aspartate => homoserine => threonine	3.6085945976087217	0.05748167648046186	0.30633857223985833	Control	M00018	T4J_bin_30,T4J_bin_17,T4J_bin_31,T4J_bin_14,T4J_bin_19,T4J_bin_15,T4J_bin_7,T4J_bin_1,T4J_bin_28,T4J_bin_12,T4J_bin_33,T4J_bin_6,T4J_bin_4,T4J_bin_8,T4J_bin_10,T4J_bin_22,T4J_bin_39,T4J_bin_35,T4J_bin_34,T4J_bin_36,T4J_bin_27,T4J_bin_23,T4C_bin_7,T4C_bin_28,T4C_bin_36,T4C_bin_10,T4C_bin_3,T4C_bin_29,T4C_bin_32,T4C_bin_37,T4C_bin_19,T4C_bin_31,T4C_bin_21,T4C_bin_34,T4C_bin_25,T4C_bin_26,T4C_bin_11,T4C_bin_14,T4C_bin_6,T4C_bin_24,T4C_bin_12,T4C_bin_22,T4C_bin_33,T4C_bin_23,T4C_bin_18,T4C_bin_9,T4C_bin_2,T4C_bin_27,T4C_bin_15,T4C_bin_8	0.55	40	0.7567567567567568	37
Menaquinone biosynthesis, chorismate (+ polyprenyl-PP) => menaquinol	3.5170270361501617	0.0607413115619489	0.3112598356282706	Jelly	M00116	T4J_bin_2,T4J_bin_31,T4J_bin_14,T4J_bin_11,T4J_bin_28,T4J_bin_16,T4C_bin_33	0.15	40	0.02702702702702703	37
Methionine degradation	3.4130313438094735	0.06468352225190527	0.3191847718126983	Jelly	M00035	T4J_bin_2,T4J_bin_24,T4J_bin_14,T4J_bin_15,T4J_bin_32,T4J_bin_11,T4J_bin_9,T4J_bin_16,T4J_bin_3,T4J_bin_36,T4J_bin_38,T4C_bin_10,T4C_bin_18,T4C_bin_27,T4C_bin_8	0.275	40	0.10810810810810811	37
Cobalamin biosynthesis, anaerobic, uroporphyrinogen III => sirohydrochlorin => cobyrinate a,c-diamide	3.130304564430669	0.0768493821162639	0.3604130095847918	Control	M00924	T4J_bin_30,T4J_bin_21,T4J_bin_20,T4C_bin_28,T4C_bin_10,T4C_bin_29,T4C_bin_32,T4C_bin_37,T4C_bin_21,T4C_bin_26,T4C_bin_1	0.075	40	0.21621621621621623	37
Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	3.036746625112869	0.08139890271863882	0.3604130095847918	Jelly	M00006	T4J_bin_31,T4J_bin_28,T4J_bin_12,T4J_bin_33,T4J_bin_4,T4J_bin_8,T4J_bin_10,T4J_bin_18,T4J_bin_35,T4J_bin_34,T4J_bin_27,T4J_bin_20,T4C_bin_28,T4C_bin_36,T4C_bin_33,T4C_bin_23,T4C_bin_18	0.3	40	0.13513513513513514	37
Glycogen degradation, glycogen => glucose-6P	3.0261782248434947	0.08193079112796708	0.3604130095847918	Jelly	M00855	T4J_bin_31,T4J_bin_28,T4J_bin_33,T4J_bin_4,T4J_bin_8,T4J_bin_10,T4J_bin_35,T4J_bin_27,T4J_bin_5,T4C_bin_20,T4C_bin_33,T4C_bin_23	0.225	40	0.08108108108108109	37
Multidrug resistance, efflux pump MexJK-OprM	2.887500880162758	0.08926930063546633	0.3604130095847918	Jelly	M00642	T4J_bin_28,T4J_bin_33,T4J_bin_4	0.075	40	0	37
Polyamine biosynthesis, arginine => ornithine => putrescine	2.887500880162758	0.08926930063546633	0.3604130095847918	Jelly	M00134	T4J_bin_30,T4J_bin_21,T4J_bin_13	0.075	40	0	37
Urea cycle	2.887500880162758	0.08926930063546633	0.3604130095847918	Jelly	M00029	T4J_bin_30,T4J_bin_21,T4J_bin_13	0.075	40	0	37
Siroheme biosynthesis, glutamyl-tRNA => siroheme	2.8108038269384146	0.09363144929837927	0.36690623776639986	Jelly	M00846	T4J_bin_2,T4J_bin_24,T4J_bin_31,T4J_bin_14,T4J_bin_19,T4J_bin_15,T4J_bin_32,T4J_bin_11,T4J_bin_9,T4J_bin_1,T4J_bin_12,T4J_bin_21,T4J_bin_33,T4J_bin_6,T4J_bin_4,T4J_bin_8,T4J_bin_16,T4J_bin_10,T4J_bin_3,T4J_bin_26,T4J_bin_39,T4J_bin_18,T4J_bin_35,T4J_bin_36,T4J_bin_27,T4J_bin_5,T4J_bin_23,T4J_bin_25,T4C_bin_7,T4C_bin_36,T4C_bin_10,T4C_bin_29,T4C_bin_32,T4C_bin_35,T4C_bin_21,T4C_bin_25,T4C_bin_14,T4C_bin_24,T4C_bin_33,T4C_bin_23,T4C_bin_18,T4C_bin_9,T4C_bin_2,T4C_bin_27,T4C_bin_30,T4C_bin_4,T4C_bin_15	0.7	40	0.5135135135135135	37
Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P	2.7238719940898055	0.09885794146499612	0.3753385264381484	Jelly	M00166	T4J_bin_31,T4J_bin_19,T4J_bin_33,T4J_bin_4,T4J_bin_8,T4J_bin_35,T4J_bin_5,T4C_bin_33,T4C_bin_23	0.175	40	0.05405405405405406	37
Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP	2.6831081083985255	0.1014176116610228	0.3753385264381484	Control	M00052	T4J_bin_2,T4J_bin_24,T4J_bin_17,T4J_bin_31,T4J_bin_14,T4J_bin_19,T4J_bin_15,T4J_bin_32,T4J_bin_7,T4J_bin_11,T4J_bin_9,T4J_bin_1,T4J_bin_28,T4J_bin_12,T4J_bin_6,T4J_bin_29,T4J_bin_4,T4J_bin_8,T4J_bin_10,T4J_bin_39,T4J_bin_34,T4J_bin_36,T4C_bin_7,T4C_bin_28,T4C_bin_36,T4C_bin_10,T4C_bin_3,T4C_bin_29,T4C_bin_32,T4C_bin_19,T4C_bin_31,T4C_bin_21,T4C_bin_26,T4C_bin_11,T4C_bin_14,T4C_bin_20,T4C_bin_12,T4C_bin_22,T4C_bin_33,T4C_bin_23,T4C_bin_18,T4C_bin_1,T4C_bin_2,T4C_bin_16,T4C_bin_30,T4C_bin_13,T4C_bin_4,T4C_bin_5,T4C_bin_8	0.55	40	0.7297297297297297	37
Cytochrome c oxidase, prokaryotes	2.5522533248333463	0.11013707506033026	0.3965921202183508	Control	M00155	T4J_bin_2,T4J_bin_24,T4J_bin_17,T4J_bin_31,T4J_bin_14,T4J_bin_19,T4J_bin_7,T4J_bin_11,T4J_bin_9,T4J_bin_28,T4J_bin_12,T4J_bin_21,T4J_bin_33,T4J_bin_6,T4J_bin_4,T4J_bin_8,T4J_bin_16,T4J_bin_10,T4J_bin_22,T4J_bin_35,T4J_bin_20,T4C_bin_7,T4C_bin_28,T4C_bin_36,T4C_bin_10,T4C_bin_29,T4C_bin_32,T4C_bin_37,T4C_bin_19,T4C_bin_31,T4C_bin_21,T4C_bin_34,T4C_bin_25,T4C_bin_26,T4C_bin_11,T4C_bin_14,T4C_bin_6,T4C_bin_24,T4C_bin_22,T4C_bin_17,T4C_bin_18,T4C_bin_9,T4C_bin_1,T4C_bin_2,T4C_bin_30,T4C_bin_13,T4C_bin_5	0.525	40	0.7027027027027027	37
Thiamine biosynthesis, prokaryotes, AIR (+ DXP/tyrosine) => TMP/TPP	2.2198219514830058	0.13624877169706173	0.42920621186036706	Jelly	M00127	T4J_bin_31,T4J_bin_15,T4J_bin_28,T4J_bin_6,T4J_bin_8,T4J_bin_37,T4J_bin_10,T4J_bin_18,T4C_bin_7,T4C_bin_36,T4C_bin_33	0.2	40	0.08108108108108109	37
C10-C20 isoprenoid biosynthesis, archaea	2.2198208447002186	0.13624886937249536	0.42920621186036706	Control	M00365	T4C_bin_35,T4C_bin_8	0	40	0.05405405405405406	37
Reductive citrate cycle (Arnon-Buchanan cycle)	2.2198208447002186	0.13624886937249536	0.42920621186036706	Control	M00173	T4C_bin_14,T4C_bin_5	0	40	0.05405405405405406	37
CAM (Crassulacean acid metabolism), light	2.2198198293179794	0.13624895898174874	0.42920621186036706	Control	M00169	T4J_bin_30,T4J_bin_17,T4J_bin_7,T4J_bin_21,T4J_bin_29,T4J_bin_13,T4J_bin_40,T4J_bin_26,T4C_bin_3,T4C_bin_29,T4C_bin_32,T4C_bin_19,T4C_bin_31,T4C_bin_34,T4C_bin_26,T4C_bin_11,T4C_bin_17,T4C_bin_1,T4C_bin_16,T4C_bin_13,T4C_bin_5	0.2	40	0.35135135135135137	37
C4-dicarboxylic acid cycle, NADP - malic enzyme type	2.186530042046705	0.13922265039787185	0.42920621186036706	Control	M00172	T4J_bin_13,T4C_bin_32,T4C_bin_34,T4C_bin_26,T4C_bin_5	0.025	40	0.10810810810810811	37
Isoleucine biosynthesis, pyruvate => 2-oxobutanoate	2.186530042046705	0.13922265039787185	0.42920621186036706	Control	M00535	T4J_bin_14,T4C_bin_18,T4C_bin_9,T4C_bin_27,T4C_bin_30	0.025	40	0.10810810810810811	37
Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine	2.1540790028940524	0.14219168244928176	0.42920621186036706	Control	M00570	T4J_bin_30,T4J_bin_17,T4J_bin_31,T4J_bin_14,T4J_bin_19,T4J_bin_15,T4J_bin_32,T4J_bin_7,T4J_bin_1,T4J_bin_28,T4J_bin_21,T4J_bin_33,T4J_bin_6,T4J_bin_4,T4J_bin_8,T4J_bin_13,T4J_bin_10,T4J_bin_22,T4J_bin_40,T4J_bin_26,T4J_bin_39,T4J_bin_34,T4J_bin_27,T4J_bin_5,T4C_bin_7,T4C_bin_28,T4C_bin_36,T4C_bin_10,T4C_bin_3,T4C_bin_29,T4C_bin_32,T4C_bin_35,T4C_bin_19,T4C_bin_31,T4C_bin_21,T4C_bin_34,T4C_bin_11,T4C_bin_14,T4C_bin_6,T4C_bin_20,T4C_bin_12,T4C_bin_22,T4C_bin_33,T4C_bin_18,T4C_bin_9,T4C_bin_1,T4C_bin_2,T4C_bin_16,T4C_bin_30,T4C_bin_4,T4C_bin_5,T4C_bin_8	0.6	40	0.7567567567567568	37
Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	2.1244370986581558	0.14496603016625878	0.42920621186036706	Jelly	M00008	T4J_bin_30,T4J_bin_17,T4J_bin_31,T4J_bin_19,T4J_bin_15,T4J_bin_7,T4J_bin_1,T4J_bin_28,T4J_bin_21,T4J_bin_33,T4J_bin_6,T4J_bin_4,T4J_bin_8,T4J_bin_13,T4J_bin_37,T4J_bin_10,T4J_bin_22,T4J_bin_40,T4J_bin_26,T4J_bin_18,T4J_bin_35,T4J_bin_34,T4J_bin_27,T4J_bin_20,T4J_bin_5,T4C_bin_7,T4C_bin_28,T4C_bin_3,T4C_bin_29,T4C_bin_34,T4C_bin_26,T4C_bin_11,T4C_bin_14,T4C_bin_6,T4C_bin_24,T4C_bin_33,T4C_bin_23,T4C_bin_17,T4C_bin_1,T4C_bin_13,T4C_bin_4,T4C_bin_5	0.625	40	0.4594594594594595	37
Glyoxylate cycle	2.084040124239529	0.148845757507945	0.4311127781212103	Control	M00012	T4J_bin_30,T4J_bin_17,T4J_bin_31,T4J_bin_19,T4J_bin_32,T4J_bin_1,T4J_bin_28,T4J_bin_33,T4J_bin_10,T4J_bin_35,T4J_bin_34,T4J_bin_27,T4J_bin_5,T4C_bin_10,T4C_bin_29,T4C_bin_32,T4C_bin_37,T4C_bin_19,T4C_bin_31,T4C_bin_21,T4C_bin_34,T4C_bin_25,T4C_bin_26,T4C_bin_11,T4C_bin_14,T4C_bin_6,T4C_bin_33,T4C_bin_23,T4C_bin_16,T4C_bin_13,T4C_bin_5	0.325	40	0.4864864864864865	37
Cobalamin biosynthesis, aerobic, uroporphyrinogen III => precorrin 2 => cobyrinate a,c-diamide	1.9732924108376397	0.1600988243777046	0.45383977102626866	Control	M00925	T4J_bin_30,T4J_bin_13,T4J_bin_22,T4J_bin_26,T4C_bin_28,T4C_bin_10,T4C_bin_29,T4C_bin_32,T4C_bin_37,T4C_bin_21,T4C_bin_26,T4C_bin_13	0.1	40	0.21621621621621623	37
Homoprotocatechuate degradation, homoprotocatechuate => 2-oxohept-3-enedioate	1.8993335845625925	0.16815293109008042	0.4667404827764936	Jelly	M00533	T4J_bin_31,T4J_bin_22	0.05	40	0	37
dTDP-L-rhamnose biosynthesis	1.8438104623227223	0.17450499366988412	0.4744867024989434	Jelly	M00793	T4J_bin_2,T4J_bin_24,T4J_bin_17,T4J_bin_14,T4J_bin_32,T4J_bin_11,T4J_bin_9,T4J_bin_28,T4J_bin_8,T4J_bin_3,T4J_bin_22,T4J_bin_26,T4J_bin_39,T4C_bin_7,T4C_bin_28,T4C_bin_3,T4C_bin_12,T4C_bin_23,T4C_bin_9,T4C_bin_27	0.325	40	0.1891891891891892	37
